year,originPackage,originClass,originLocation,destPackage,destClass,destLocation,duplicateSize
2007,base.trunk.test.org.hsqldb.jdbc,jdbcDataSourceTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDataSourceTest.java|(2059,234,<49,0>,<60,32>)",base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(2042,234,<49,0>,<60,32>)",8
2007,base.trunk.src.org.hsqldb.types,BooleanType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(2275,149,<65,0>,<73,5>)",base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(2376,149,<63,0>,<71,5>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb,NumberSequence,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/NumberSequence.java|(3967,300,<130,0>,<146,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,TriggerDef,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/TriggerDef.java|(7079,300,<174,0>,<190,5>)",12
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(1599,162,<31,0>,<37,24>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/ClobType.java|(1599,162,<31,0>,<37,24>)",5
2007,base.trunk.test.org.hsqldb.jdbc,UtilTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/UtilTest.java|(11631,246,<275,0>,<286,32>)",base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcBlobTest.java|(2050,234,<49,0>,<60,32>)",8
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BitType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BitType.java|(7987,200,<272,0>,<282,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BinaryType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BinaryType.java|(11091,200,<368,0>,<378,9>)",7
2007,base.trunk.src.org.hsqldb,CommandParser,"|java+compilationUnit:///base/trunk/src/org/hsqldb/CommandParser.java|(20616,109,<677,0>,<682,5>)",base.trunk.src.org.hsqldb,DDLParser,"|java+compilationUnit:///base/trunk/src/org/hsqldb/DDLParser.java|(58214,109,<1948,0>,<1953,5>)",5
2007,base.trunk.test.org.hsqldb.jdbc,jdbcConnectionTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcConnectionTest.java|(2320,234,<58,0>,<69,32>)",base.trunk.test.org.hsqldb.jdbc,UtilTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/UtilTest.java|(11631,246,<275,0>,<286,32>)",8
2007,base.trunk.src.org.hsqldb.types,DateTimeType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(12340,198,<420,0>,<429,9>)",base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/CharacterType.java|(15317,198,<479,0>,<488,9>)",7
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(1993,189,<49,0>,<58,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcSavepointTest.java|(1962,189,<47,0>,<56,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,TransferDb,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/TransferDb.java|(1599,242,<31,0>,<39,26>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,ZaurusTableForm,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/ZaurusTableForm.java|(1599,242,<31,0>,<39,26>)",7
2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestLikePredicateOptimizations.java|(6744,158,<222,0>,<228,1>)",base.trunk.src.org.hsqldb.test,TestINPredicateParameterizationAndCorrelation,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestINPredicateParameterizationAndCorrelation.java|(5552,158,<174,0>,<180,1>)",5
2007,base.trunk.src.org.hsqldb.jdbc,jdbcConnection,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcConnection.java|(129516,1357,<3167,0>,<3193,88>)",base.trunk.src.org.hsqldb.jdbc,jdbcStatement,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcStatement.java|(71599,1356,<1747,0>,<1772,88>)",5
2007,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestLikePredicateOptimizations.java|(6744,158,<222,0>,<228,1>)",base.trunk.src.org.hsqldb.test,TestDatabaseMetaData,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestDatabaseMetaData.java|(8944,158,<231,0>,<237,1>)",5
2007,base.trunk.src.org.hsqldb.lib,IntKeyHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4530,451,<169,0>,<188,29>)",base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4194,451,<156,0>,<175,29>)",14
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4804,451,<174,0>,<193,29>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4194,451,<156,0>,<175,29>)",14
