versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2013,base.trunk.src.org.hsqldb.types,IntervalType,1207,43,312,14
2009,base.trunk.src.org.hsqldb,Constraint,594,7,56,13
2009,base.trunk.src.org.hsqldb.util.preprocessor,Token,62,3,18,6
2015,base.trunk.src.org.hsqldb.persist,BlockObjectStore,75,2,10,5
2008,base.trunk.src.org.hsqldb,CompiledStatementExecutor,843,8,58,10
2013,base.trunk.src.org.hsqldb.jdbc,JDBCResultSetMetaData,231,7,53,11
2009,base.trunk.src.org.hsqldb.jdbc,ClobInputStream,84,8,82,20
2014,base.trunk.src.org.hsqldb.test,HsqldbTestCase,83,1,5,5
2010,base.trunk.src.org.hsqldb.types,Charset,111,10,65,13
2013,base.trunk.src.org.hsqldb.persist,HsqlProperties,355,2,10,5
2013,base.trunk.src.org.hsqldb.lib,OrderedHashSet,99,2,11,6
2015,base.trunk.src.org.hsqldb.rowio,RowOutputBinary,313,5,44,11
2007,base.trunk.src.org.hsqldb.persist,TextCache,306,6,33,6
2017,base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,418,4,26,7
2019,base.trunk.src.org.hsqldb.rights,Right,693,4,22,6
2013,base.trunk.src.org.hsqldb,ExpressionAggregate,205,14,126,23
2007,base.trunk.src.org.hsqldb.lib,StringUtil,204,9,73,11
2014,base.trunk.src.org.hsqldb,Database,475,1,5,5
2007,base.trunk.src.org.hsqldb.jdbc,jdbcDataSource,83,4,29,9
2013,base.trunk.src.org.hsqldb.jdbc,JDBCResultSet,1612,38,268,14
2012,base.trunk.src.org.hsqldb.types,BlobDataID,161,10,75,14
2013,base.trunk.src.org.hsqldb.test,TestJDBCGeneratedColumns,157,9,55,9
2013,base.trunk.src.org.hsqldb.lib,CountdownInputStream,71,2,10,5
2010,base.trunk.src.org.hsqldb.types,Types,352,4,41,14
2010,base.trunk.src.org.hsqldb.test,TestSql,651,14,210,94
2017,base.trunk.src.org.hsqldb.types,NullType,61,1,5,5
2017,base.trunk.src.org.hsqldb.lib,ArraySort,112,2,13,8
2014,base.trunk.src.org.hsqldb.persist,RowStoreAVL,357,1,7,7
2010,base.trunk.src.org.hsqldb.test,TestSchemaParse,759,1,5,5
2011,base.trunk.src.org.hsqldb.test,TestLikePredicateOptimizations,168,7,45,8
2011,base.trunk.src.org.hsqldb.sample,FindFile,80,2,11,6
2007,base.trunk.src.org.hsqldb.jdbc,jdbcSQLXML,990,13,96,9
2017,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,2117,35,336,42
