index,year,package,className,direction
0,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,TransactionManager,From
1,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,TransactionManager,To
2,2011,base.trunk.src.org.hsqldb.test,TestTypeConversion,From
3,2011,base.trunk.src.org.hsqldb.test,TestTypeConversion,To
4,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcBlob,From
5,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcBlob,To
6,2011,base.trunk.src.org.hsqldb.types,BitType,From
7,2011,base.trunk.src.org.hsqldb.types,BitType,To
8,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,AllSimpleTests,From
9,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.test,AllSimpleTests,To
10,2019,hsqldb.src.org.hsqldb.test,TestPreparedSubQueries,From
11,2019,hsqldb.src.org.hsqldb.test,TestPreparedSubQueries,To
12,2013,base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,From
13,2013,base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,To
14,2012,base.trunk.src.org.hsqldb.lib,ClosableCharArrayWriter,From
15,2012,base.trunk.src.org.hsqldb.lib,ClosableCharArrayWriter,To
16,2010,base.trunk.src.org.hsqldb,NumberSequence,From
17,2010,base.trunk.src.org.hsqldb,NumberSequence,To
18,2017,base.trunk.src.org.hsqldb,StatementHandler,From
19,2017,base.trunk.src.org.hsqldb,StatementHandler,To
20,2014,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,From
21,2014,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,To
22,2010,base.trunk.src.org.hsqldb,ExpressionLike,From
23,2010,base.trunk.src.org.hsqldb,ExpressionLike,To
24,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.lib.tar,TarFileInputStream,From
25,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.lib.tar,TarFileInputStream,To
26,2017,base.trunk.src.org.hsqldb.lib,HashMappedList,From
27,2017,base.trunk.src.org.hsqldb.lib,HashMappedList,To
28,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,From
29,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.util.preprocessor,Preprocessor,To
30,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.server,WebServer,From
31,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.server,WebServer,To
32,2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextLog,From
33,2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextLog,To
34,2014,base.trunk.src.org.hsqldb,QueryExpression,From
35,2014,base.trunk.src.org.hsqldb,QueryExpression,To
36,2019,hsqldb.src.org.hsqldb.persist,BlockObjectStore,From
37,2019,hsqldb.src.org.hsqldb.persist,BlockObjectStore,To
38,2013,base.trunk.src.org.hsqldb.jdbc,JDBCParameterMetaData,From
39,2013,base.trunk.src.org.hsqldb.jdbc,JDBCParameterMetaData,To
40,2017,base.trunk.src.org.hsqldb,ExpressionColumn,From
41,2017,base.trunk.src.org.hsqldb,ExpressionColumn,To
42,2017,base.trunk.src.org.hsqldb.test,TestHashStructures,From
43,2017,base.trunk.src.org.hsqldb.test,TestHashStructures,To
44,2012,base.trunk.src.org.hsqldb.persist,Logger,From
45,2012,base.trunk.src.org.hsqldb.persist,Logger,To
46,2010,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,From
